,True_Class,Pred_Class,C2,noise_level,experiment,fd_order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,Correct_Classification
50,unique,unique,195.9019598315233,0.001,linear_unique_1,6.0,0.09407049817376918,0.03119587989708058,0.025264242323599764,0.0006190180329685273,0.018307778991228315,4074.749158001367,383.3136832263351,2079.074207306911,6237.222621920733,True
51,unique,unique,195.9019598315233,0.001,linear_unique_1,8.0,0.09377784960008641,0.03119587990292643,0.02444182687960353,0.0006190180159369542,0.02082633168059272,4033.2666374972705,378.2310721282653,2079.074207306911,6237.222621920733,True
52,unique,unique,195.9019598315233,0.001,linear_unique_1,10.0,0.09344568280034228,0.031195879902952757,0.023784130223782084,0.0006190180158602388,0.022852365672758227,3991.9096059992435,373.0267188098446,2079.074207306911,6237.222621920733,True
53,unique,unique,195.9019598315233,0.001,linear_unique_1,12.0,0.09311943731443167,0.031195879902952882,0.0232363312814953,0.0006190180158598933,0.024548007349338905,3950.6597146459885,367.88320964862766,2079.074207306911,6237.222621920733,True
54,unique,unique,291.36878835930236,0.01,linear_unique_1,2.0,0.1401239624293934,0.04599880814010096,0.010423213158606096,0.0020381229658935985,0.1207387745253942,4158.728932692283,582.7375767186047,2079.3644663461414,6238.093399038424,True
55,unique,,291.36878835930236,0.01,linear_unique_1,4.0,0.16872138316278648,0.04599889697269075,0.0,0.0020378669746683887,0.18944118318176373,4117.452810576596,694.7023333079859,2079.3644663461414,6238.093399038424,False
56,unique,,291.36878835930236,0.01,linear_unique_1,6.0,0.185733846442204,0.04599889737284476,0.0,0.0020378658215343967,0.24092489265896808,4076.1464766155214,757.0783637636381,2079.3644663461414,6238.093399038424,False
57,unique,,291.36878835930236,0.01,linear_unique_1,8.0,0.1972373528915509,0.04599889737464718,0.0,0.0020378658163403315,0.2826399500614869,4034.7508428918763,795.8035758289475,2079.3644663461414,6238.093399038424,False
58,unique,,291.36878835930236,0.01,linear_unique_1,10.0,0.20537746947551347,0.04599889737465529,0.0,0.0020378658163169357,0.3181209909980681,3993.491525570917,820.1731838936628,2079.3644663461414,6238.093399038424,False
59,unique,,291.36878835930236,0.01,linear_unique_1,12.0,0.21187729733915414,0.04599889737465533,0.0,0.002037865816316831,0.3492414923292551,3952.486971746489,837.4422573418638,2079.3644663461414,6238.093399038424,False
60,unique,,1974.5281201884216,0.1,linear_unique_1,2.0,0.8564471278363607,0.2830528229789857,0.0,0.005713171058274716,1.0,4610.974935899814,3949.056240376843,2305.487467949907,6916.462403849721,False
61,unique,,1974.5281201884216,0.1,linear_unique_1,4.0,0.6836236699153765,0.28305285467559266,0.0,0.005713095954923657,1.0,5931.208340268657,4054.7144126071485,2305.487467949907,6916.462403849721,False
62,unique,,1974.5281201884216,0.1,linear_unique_1,6.0,0.6022233562050817,0.2830528548183647,0.0,0.005713095616633316,1.0,6688.03060095621,4027.6882349101384,2305.487467949907,6916.462403849721,False
63,unique,,1974.5281201884216,0.1,linear_unique_1,8.0,0.5578113103250587,0.28305285481900777,0.0,0.005713095615109555,1.0,7154.128063250239,3990.6535491948907,2305.487467949907,6916.462403849721,False
64,unique,,1974.5281201884216,0.1,linear_unique_1,10.0,0.5291820088938745,0.2830528548190107,0.0,0.0057130956151026915,1.0,7468.266023765824,3952.072017410266,2305.487467949907,6916.462403849721,False
65,unique,,1974.5281201884216,0.1,linear_unique_1,12.0,0.5086347945404934,0.2830528548190107,0.0,0.00571309561510266,1.0,7690.893727853354,3911.85615109946,2305.487467949907,6916.462403849721,False
0,unique,unique,52.26491615015019,0.0,linear_unique_1.1,2.0,0.9852090429616369,0.327843053869862,0.32832627402242626,0.0012667229695886577,0.00017334656918522202,106.09914012367696,104.52983230030038,53.04957006183848,159.14871018551543,True
1,unique,unique,52.26491615015019,0.0,linear_unique_1.1,4.0,0.9891313223142344,0.32836541829804117,0.32840294518426566,8.491462011557553e-05,1.5613400515361618e-07,105.21241043367053,104.06889065612448,53.04957006183848,159.14871018551543,True
2,unique,unique,52.26491615015019,0.0,linear_unique_1.1,6.0,0.9928254381567514,0.32840049103093827,0.3284030142538148,5.698516381299242e-06,1.507016873107286e-10,104.2965158337836,103.54823403089877,53.04957006183848,159.14871018551543,True
3,unique,unique,52.26491615015019,0.0,linear_unique_1.1,8.0,0.9967682301000518,0.32840284497194977,0.32840301432047886,3.8244873072303954e-07,1.5084574497449156e-13,103.36572916217904,103.0316749099865,53.04957006183848,159.14871018551543,True
4,unique,unique,52.26491615015019,0.0,linear_unique_1.1,10.0,0.99910178632629,0.3284030029548667,0.3284030143205456,2.566769089078098e-08,1.5442152992132764e-16,102.51553774530075,102.42345688753018,53.04957006183848,159.14871018551543,True
5,unique,unique,52.26491615015019,0.0,linear_unique_1.1,12.0,0.9948754320902683,0.3284030135577484,0.32840301432054564,1.7226637769239926e-09,1.6051411050922327e-19,101.99595667359914,101.47327146710722,53.04957006183848,159.14871018551543,True
6,unique,unique,52.26491615016007,1e-10,linear_unique_1.1,2.0,0.9852090429620193,0.32784305361015,0.328326273595079,0.001266723558381098,0.00017334753501936393,106.09914012365583,104.52983230032014,53.049570061827914,159.14871018548374,True
7,unique,unique,52.26491615016007,1e-10,linear_unique_1.1,4.0,0.9891313223139342,0.32836541442371486,0.32840294454305013,8.492337197275713e-05,1.5758238315055738e-07,105.21241043365839,104.0688906560809,53.049570061827914,159.14871018548374,True
8,unique,unique,52.26491615016007,1e-10,linear_unique_1.1,6.0,0.99282543815565,0.3284004339415124,0.3284030134654856,5.827446600598944e-06,1.9313133679999417e-09,104.29651583374556,103.54823403074613,53.049570061827914,159.14871018548374,True
9,unique,unique,52.26491615016007,1e-10,linear_unique_1.1,8.0,0.9967682300988255,0.32840244859412165,0.3284030134254781,1.2776111820772843e-06,2.0216643362424615e-09,103.36572916210575,103.0316749097867,53.049570061827914,159.14871018548374,True
10,unique,unique,52.26491615016007,1e-10,linear_unique_1.1,10.0,0.9991017863266918,0.3284024744162454,0.3284030133404281,1.2192955743722203e-06,2.2137371184218108e-09,102.5155377451727,102.42345688744344,53.049570061827914,159.14871018548374,True
11,unique,unique,52.26491615016007,1e-10,linear_unique_1.1,12.0,0.9948754320905892,0.3284024745353506,0.32840301326944965,1.2190265922175395e-06,2.3740313202687365e-09,101.99595667351842,101.47327146705965,53.049570061827914,159.14871018548374,True
12,unique,unique,52.26491615009361,1e-09,linear_unique_1.1,2.0,0.9852090429625677,0.3278430511034168,0.32832626947099547,0.0012667292390168578,0.00017335685336564388,106.09914012346185,104.52983230018722,53.049570061730925,159.14871018519278,True
13,unique,unique,52.26491615009361,1e-09,linear_unique_1.1,4.0,0.989131322338247,0.3283653770637855,0.3284029383509217,8.50077633293263e-05,1.7156680034181872e-07,105.21241043267074,104.06889065766198,53.049570061730925,159.14871018519278,True
14,unique,unique,52.26491615009361,1e-09,linear_unique_1.1,6.0,0.9928254381608843,0.3283999370743711,0.3284030058609237,6.949566431967993e-06,1.910549502974026e-08,104.29651583250435,103.54823403005975,53.049570061730925,159.14871018519278,True
15,unique,unique,52.26491615009361,1e-09,linear_unique_1.1,8.0,0.9967682300932292,0.3284012448164671,0.32840300479485074,3.996182931092772e-06,2.1513061948354838e-08,103.36572916229296,103.03167490939485,53.049570061730925,159.14871018519278,True
