,True_Class,Pred_Class,C2,noise_level,fd_order,experiment,Correct_Classification
6,unique,,1.0,1e-05,8,analytic_unique_1,False
7,unique,,1.0,0.0001,8,analytic_unique_1,False
8,unique,,1.0,0.001,8,analytic_unique_1,False
9,unique,,1.0,0.01,8,analytic_unique_1,False
10,unique,,0.5,0.0,8,analytic_unique_1,False
11,unique,,0.5,1e-10,8,analytic_unique_1,False
12,unique,,0.5,1e-09,8,analytic_unique_1,False
13,unique,,0.5,1e-08,8,analytic_unique_1,False
14,unique,,0.5,1e-07,8,analytic_unique_1,False
15,unique,non unique,0.5,1e-06,8,analytic_unique_1,False
16,unique,,0.5,1e-05,8,analytic_unique_1,False
17,unique,,0.5,0.0001,8,analytic_unique_1,False
18,unique,,0.5,0.001,8,analytic_unique_1,False
19,unique,,0.5,0.01,8,analytic_unique_1,False
20,unique,,0.25,0.0,8,analytic_unique_1,False
21,unique,,0.25,1e-10,8,analytic_unique_1,False
22,unique,,0.25,1e-09,8,analytic_unique_1,False
23,unique,,0.25,1e-08,8,analytic_unique_1,False
24,unique,,0.25,1e-07,8,analytic_unique_1,False
25,unique,,0.25,1e-06,8,analytic_unique_1,False
26,unique,,0.25,1e-05,8,analytic_unique_1,False
27,unique,,0.25,0.0001,8,analytic_unique_1,False
28,unique,,0.25,0.001,8,analytic_unique_1,False
29,unique,,0.25,0.01,8,analytic_unique_1,False
30,unique,unique,0.1,0.0,8,analytic_unique_1,True
31,unique,unique,0.1,1e-10,8,analytic_unique_1,True
32,unique,unique,0.1,1e-09,8,analytic_unique_1,True
33,unique,unique,0.1,1e-08,8,analytic_unique_1,True
34,unique,unique,0.1,1e-07,8,analytic_unique_1,True
35,unique,,0.1,1e-06,8,analytic_unique_1,False
36,unique,,0.1,1e-05,8,analytic_unique_1,False
37,unique,,0.1,0.0001,8,analytic_unique_1,False
38,unique,,0.1,0.001,8,analytic_unique_1,False
39,unique,,0.1,0.01,8,analytic_unique_1,False
40,unique,unique,0.01,0.0,8,analytic_unique_1,True
41,unique,unique,0.01,1e-10,8,analytic_unique_1,True
42,unique,unique,0.01,1e-09,8,analytic_unique_1,True
43,unique,unique,0.01,1e-08,8,analytic_unique_1,True
44,unique,unique,0.01,1e-07,8,analytic_unique_1,True
45,unique,,0.01,1e-06,8,analytic_unique_1,False
46,unique,,0.01,1e-05,8,analytic_unique_1,False
47,unique,,0.01,0.0001,8,analytic_unique_1,False
48,unique,,0.01,0.001,8,analytic_unique_1,False
49,unique,,0.01,0.01,8,analytic_unique_1,False
50,unique,unique,0.001,0.0,8,analytic_unique_1,True
51,unique,unique,0.001,1e-10,8,analytic_unique_1,True
52,unique,unique,0.001,1e-09,8,analytic_unique_1,True
53,unique,unique,0.001,1e-08,8,analytic_unique_1,True
54,unique,unique,0.001,1e-07,8,analytic_unique_1,True
55,unique,,0.001,1e-06,8,analytic_unique_1,False
56,unique,,0.001,1e-05,8,analytic_unique_1,False
57,unique,,0.001,0.0001,8,analytic_unique_1,False
58,unique,,0.001,0.001,8,analytic_unique_1,False
59,unique,,0.001,0.01,8,analytic_unique_1,False
60,unique,unique,0.0001,0.0,8,analytic_unique_1,True
61,unique,unique,0.0001,1e-10,8,analytic_unique_1,True
62,unique,unique,0.0001,1e-09,8,analytic_unique_1,True
63,unique,unique,0.0001,1e-08,8,analytic_unique_1,True
64,unique,unique,0.0001,1e-07,8,analytic_unique_1,True
65,unique,,0.0001,1e-06,8,analytic_unique_1,False
66,unique,,0.0001,1e-05,8,analytic_unique_1,False
67,unique,,0.0001,0.0001,8,analytic_unique_1,False
68,unique,,0.0001,0.001,8,analytic_unique_1,False
69,unique,,0.0001,0.01,8,analytic_unique_1,False
70,unique,unique,1e-05,0.0,8,analytic_unique_1,True
71,unique,unique,1e-05,1e-10,8,analytic_unique_1,True
72,unique,unique,1e-05,1e-09,8,analytic_unique_1,True
73,unique,unique,1e-05,1e-08,8,analytic_unique_1,True
74,unique,unique,1e-05,1e-07,8,analytic_unique_1,True
75,unique,,1e-05,1e-06,8,analytic_unique_1,False
76,unique,,1e-05,1e-05,8,analytic_unique_1,False
77,unique,,1e-05,0.0001,8,analytic_unique_1,False
78,unique,,1e-05,0.001,8,analytic_unique_1,False
79,unique,,1e-05,0.01,8,analytic_unique_1,False
80,unique,unique,1e-06,0.0,8,analytic_unique_1,True
81,unique,unique,1e-06,1e-10,8,analytic_unique_1,True
82,unique,unique,1e-06,1e-09,8,analytic_unique_1,True
83,unique,unique,1e-06,1e-08,8,analytic_unique_1,True
84,unique,unique,1e-06,1e-07,8,analytic_unique_1,True
85,unique,,1e-06,1e-06,8,analytic_unique_1,False
86,unique,,1e-06,1e-05,8,analytic_unique_1,False
87,unique,,1e-06,0.0001,8,analytic_unique_1,False
88,unique,,1e-06,0.001,8,analytic_unique_1,False
89,unique,,1e-06,0.01,8,analytic_unique_1,False
0,unique,,1.0,0.0,8,analytic_unique_2,False
1,unique,,1.0,1e-10,8,analytic_unique_2,False
2,unique,,1.0,1e-09,8,analytic_unique_2,False
3,unique,,1.0,1e-08,8,analytic_unique_2,False
4,unique,,1.0,1e-07,8,analytic_unique_2,False
5,unique,,1.0,1e-06,8,analytic_unique_2,False
6,unique,,1.0,1e-05,8,analytic_unique_2,False
7,unique,,1.0,0.0001,8,analytic_unique_2,False
8,unique,,1.0,0.001,8,analytic_unique_2,False
9,unique,,1.0,0.01,8,analytic_unique_2,False
10,unique,unique,0.5,0.0,8,analytic_unique_2,True
11,unique,unique,0.5,1e-10,8,analytic_unique_2,True
12,unique,unique,0.5,1e-09,8,analytic_unique_2,True
13,unique,unique,0.5,1e-08,8,analytic_unique_2,True
